Initializing IMU device...
Testing device connections...
CurieIMU connection successful
About to calibrate. Make sure your board is stable and upright
Starting Gyroscope calibration... Done
Starting Acceleration calibration... Done
Internal sensor offsets AFTER calibration...
-20	-44	19	3	14	-7
Enabling Gyroscope/Acceleration offset compensation
1
1
sampling period: 16000.00
n
Started timed_IMU_ISR
0 1:419.00 2:14160.00 3:276566.69 4:4717.07 5:2156.95 6:558.01 7:2122.96 8:1499.59 9:1019.93 10:559.85
0 1:422.00 2:14257.00 3:271600.97 4:2995.68 5:1162.67 6:240.93 7:1131.74 8:2401.78 9:1017.19 10:979.92
0 1:642.00 2:14039.00 3:289628.59 4:1983.41 5:3009.40 6:2952.71 7:1492.41 8:1182.46 9:555.41 10:683.13
0 1:328.00 2:14148.00 3:273430.34 4:2883.40 5:2593.62 6:733.50 7:1431.61 8:1242.90 9:1220.91 10:655.18
0 1:2743.00 2:14958.00 3:229378.77 4:8875.44 5:3611.72 6:5612.75 7:5546.17 8:5329.23 9:4440.89 10:2934.15
0 1:3775.00 2:15781.00 3:164295.70 4:46842.01 5:29678.06 6:20156.58 7:10068.68 8:8244.14 9:9382.75 10:7222.99
0 1:2373.00 2:15963.00 3:151271.89 4:8066.78 5:3531.25 6:1746.54 7:2868.81 8:5548.14 9:5220.12 10:3853.84
0 1:2983.00 2:15855.00 3:145184.64 4:7458.48 5:9897.21 6:6229.79 7:3368.19 8:1476.22 9:1817.85 10:1830.26
0 1:489.00 2:14990.00 3:183497.92 4:593.21 5:612.25 6:1056.22 7:1018.49 8:1445.15 9:1495.85 10:1840.40
0 1:88.00 2:15066.00 3:181216.98 4:240.51 5:393.70 6:341.47 7:452.75 8:482.34 9:395.88 10:496.52
0 1:88.00 2:15064.00 3:183576.48 4:594.81 5:426.08 6:630.26 7:324.71 8:394.52 9:329.14 10:601.02
0 1:690.00 2:15027.00 3:185929.67 4:2017.96 5:1847.34 6:1277.63 7:815.04 8:1875.66 9:1365.91 10:1870.71
0 1:1027.00 2:14678.00 3:210948.67 4:2508.71 5:2727.00 6:2521.12 7:3305.38 8:1846.82 9:2623.12 10:1922.47
0 1:187.00 2:14588.00 3:206433.92 4:302.99 5:469.17 6:427.66 7:516.71 8:601.12 9:357.16 10:565.84
0 1:1101.00 2:14646.00 3:204296.08 4:5958.85 5:3957.47 6:4283.53 7:5899.27 8:1911.97 9:1610.45 10:1054.18
0 1:3581.00 2:14291.00 3:243819.00 4:3650.45 5:4904.03 6:3214.80 7:5292.55 8:5648.47 9:2743.84 10:3314.62
0 1:2229.00 2:13865.00 3:206665.61 4:2787.46 5:3747.67 6:1786.92 7:3542.39 8:1535.72 9:3874.31 10:2434.62
0 1:3054.00 2:14231.00 3:203436.88 4:8198.83 5:5416.85 6:9762.76 7:9489.17 8:5713.01 9:5272.64 10:6580.50
0 1:2441.00 2:14583.00 3:271624.91 4:25748.92 5:24030.51 6:28300.63 7:15204.89 8:7059.17 9:4789.74 10:4375.22
0 1:756.00 2:14699.00 3:258374.36 4:5067.17 5:9991.99 6:3462.04 7:1998.55 8:1962.24 9:1404.16 10:974.89
0 1:979.00 2:14703.00 3:250017.48 4:2041.53 5:2694.47 6:1990.04 7:1850.44 8:2253.09 9:2434.34 10:1679.40
0 1:255.00 2:14752.00 3:210436.19 4:626.16 5:156.99 6:721.54 7:696.99 8:561.25 9:639.68 10:792.85
0 1:960.00 2:14501.00 3:228521.36 4:5314.95 5:3165.95 6:2936.73 7:2701.59 8:4405.77 9:4658.69 10:4348.06
0 1:558.00 2:14211.00 3:260086.23 4:2619.66 5:1651.73 6:1485.50 7:1648.48 8:2108.64 9:1598.10 10:1357.14
0 1:71.00 2:14267.00 3:259920.81 4:229.44 5:517.95 6:631.80 7:630.10 8:500.78 9:711.42 10:620.07
0 1:60.00 2:14273.00 3:259439.86 4:336.42 5:478.53 6:615.82 7:549.30 8:625.69 9:670.47 10:676.09
0 1:58.00 2:14273.00 3:259410.89 4:378.13 5:523.96 6:495.39 7:717.54 8:622.79 9:564.04 10:627.23
0 1:64.00 2:14274.00 3:259240.80 4:427.63 5:520.60 6:558.70 7:599.29 8:649.72 9:651.44 10:626.17
0 1:64.00 2:14272.00 3:259299.69 4:267.61 5:524.57 6:595.73 7:556.84 8:646.86 9:667.36 10:586.36
0 1:869.00 2:14339.00 3:261063.73 4:3889.20 5:5132.86 6:4673.48 7:5301.47 8:3654.86 9:1938.75 10:1310.29
0 1:7127.00 2:13441.00 3:341666.28 4:22894.26 5:12773.49 6:21092.02 7:16030.28 8:11602.71 9:11943.57 10:9443.12
0 1:5625.00 2:13108.00 3:262527.91 4:9811.23 5:7593.52 6:5842.94 7:7898.90 8:2644.40 9:3110.22 10:1218.83
0 1:1747.00 2:13086.00 3:204648.88 4:2973.95 5:1918.44 6:358.04 7:1374.38 8:953.16 9:1172.25 10:779.18
0 1:478.00 2:13129.00 3:181653.25 4:689.46 5:958.55 6:920.16 7:676.40 8:621.02 9:529.47 10:635.16
0 1:381.00 2:13170.00 3:176982.77 4:1100.72 5:588.18 6:628.33 7:491.65 8:348.97 9:443.92 10:683.86
0 1:96.00 2:13144.00 3:178408.06 4:303.69 5:427.89 6:697.08 7:471.30 8:342.20 9:535.74 10:437.35
0 1:4987.00 2:13490.00 3:195833.56 4:10961.17 5:5901.21 6:9692.43 7:4308.18 8:6842.89 9:2384.74 10:2349.32
0 1:5505.00 2:14230.00 3:235119.13 4:30329.58 5:16809.41 6:10254.12 7:6809.84 8:5710.55 9:5490.69 10:6787.36
0 1:3686.00 2:13156.00 3:288273.88 4:21163.94 5:18626.91 6:11989.48 7:6658.28 8:10400.23 9:9675.90 10:4295.59
0 1:320.00 2:13357.00 3:252881.98 4:541.15 5:993.52 6:805.00 7:765.57 8:1560.89 9:1366.00 10:939.58
0 1:196.00 2:13406.00 3:246565.80 4:299.37 5:976.36 6:470.31 7:415.16 8:851.60 9:1508.38 10:1050.63
0 1:238.00 2:13474.00 3:240490.11 4:410.13 5:1033.52 6:1108.64 7:322.82 8:1032.61 9:728.09 10:1019.85
0 1:197.00 2:13561.00 3:239655.92 4:311.11 5:965.56 6:445.41 7:725.91 8:1417.83 9:1891.07 10:1454.12
0 1:928.00 2:13639.00 3:244571.70 4:6120.21 5:3843.29 6:4803.32 7:5044.44 8:5310.46 9:2271.82 10:2337.26
0 1:2732.00 2:14393.00 3:247070.67 4:8317.15 5:8277.83 6:6074.81 7:2786.69 8:1126.53 9:4624.15 10:3337.08
0 1:766.00 2:14302.00 3:269970.47 4:1944.63 5:1546.33 6:2584.50 7:2144.99 8:2266.46 9:2404.04 10:872.28
0 1:155.00 2:14292.00 3:265506.19 4:649.95 5:1308.74 6:1168.52 7:849.92 8:520.18 9:503.46 10:960.50
0 1:105.00 2:14306.00 3:265510.16 4:468.40 5:549.60 6:550.70 7:679.96 8:694.89 9:421.37 10:1047.64
0 1:419.00 2:14322.00 3:264056.16 4:1558.80 5:1116.05 6:1251.87 7:1094.98 8:567.98 9:685.35 10:698.02
0 1:1067.00 2:14279.00 3:267939.44 4:2363.69 5:3278.77 6:1905.42 7:3917.56 8:1939.28 9:1781.22 10:1861.15
0 1:1098.00 2:14597.00 3:308226.09 4:2313.40 5:3618.51 6:2160.51 7:799.52 8:1329.58 9:1614.98 10:1540.29
0 1:1382.00 2:14621.00 3:329008.00 4:6006.66 5:6915.05 6:5352.75 7:4369.85 8:2089.26 9:1306.82 10:1923.49
0 1:7778.00 2:13936.00 3:265649.09 4:26233.61 5:21753.05 6:21988.48 7:12781.21 8:16884.11 9:12044.26 10:6475.65
0 1:1966.00 2:14698.00 3:43072.12 4:9740.04 5:3908.91 6:4593.31 7:2242.97 8:3887.95 9:3996.67 10:2372.26
0 1:398.00 2:14764.00 3:16507.84 4:939.16 5:921.06 6:1211.68 7:232.47 8:710.93 9:305.54 10:446.39
0 1:268.00 2:14859.00 3:31237.44 4:2028.26 5:752.04 6:828.93 7:558.12 8:585.82 9:741.04 10:571.24
0 1:110.00 2:14851.00 3:25122.42 4:832.48 5:172.65 6:317.66 7:306.74 8:497.63 9:115.98 10:205.47
0 1:203.00 2:14758.00 3:9708.99 4:778.47 5:667.55 6:171.37 7:414.54 8:290.33 9:298.77 10:264.76
0 1:119.00 2:14747.00 3:7865.89 4:919.81 5:143.63 6:173.48 7:473.70 8:451.23 9:357.71 10:217.65
0 1:62.00 2:14737.00 3:6885.78 4:169.00 5:473.64 6:173.05 7:138.49 8:379.19 9:127.52 10:118.77
0 1:63.00 2:14750.00 3:8022.52 4:651.91 5:445.84 6:200.72 7:177.80 8:397.03 9:328.47 10:224.39
0 1:58.00 2:14759.00 3:8795.48 4:300.77 5:301.38 6:229.75 7:335.38 8:354.94 9:116.50 10:141.31
0 1:509.00 2:14855.00 3:11501.42 4:1305.94 5:1955.34 6:784.16 7:1878.54 8:434.24 9:531.18 10:620.18
0 1:646.00 2:14852.00 3:14196.78 4:4329.16 5:3588.54 6:2516.38 7:594.38 8:455.55 9:623.25 10:487.63
0 1:115.00 2:14695.00 3:5204.96 4:1123.00 5:576.92 6:240.58 7:486.24 8:539.87 9:146.18 10:191.04
0 1:71.00 2:14707.00 3:3929.94 4:323.94 5:272.79 6:340.39 7:395.48 8:301.04 9:146.25 10:195.18
0 1:109.00 2:14731.00 3:1044.41 4:651.76 5:671.03 6:770.70 7:587.11 8:815.12 9:868.26 10:478.20
0 1:85.00 2:14733.00 3:210.95 4:390.20 5:370.34 6:308.50 7:487.95 8:247.87 9:211.46 10:45.90
0 1:96.00 2:14746.00 3:1542.37 4:216.23 5:252.36 6:286.80 7:367.45 8:543.27 9:391.71 10:215.32
0 1:714.00 2:14891.00 3:18487.94 4:7458.72 5:2984.59 6:2254.24 7:1945.92 8:926.12 9:699.22 10:1651.92
0 1:416.00 2:14961.00 3:18433.92 4:3145.86 5:1786.73 6:2005.93 7:2607.20 8:1135.96 9:357.55 10:876.82
0 1:81.00 2:14869.00 3:12337.48 4:579.23 5:216.99 6:94.46 7:287.45 8:468.65 9:305.29 10:208.58
0 1:82.00 2:14856.00 3:10645.18 4:300.75 5:118.37 6:307.34 7:556.12 8:271.99 9:373.18 10:182.44
0 1:72.00 2:14841.00 3:8759.72 4:379.29 5:436.12 6:584.84 7:507.54 8:469.99 9:186.73 10:443.67
0 1:74.00 2:14841.00 3:8707.35 4:412.58 5:249.67 6:690.14 7:777.22 8:580.05 9:108.34 10:383.33
0 1:67.00 2:14834.00 3:7671.64 4:261.70 5:387.54 6:376.46 7:457.05 8:412.98 9:53.51 10:209.34
0 1:64.00 2:14835.00 3:7551.59 4:210.13 5:362.36 6:399.19 7:321.75 8:373.11 9:314.09 10:247.19
0 1:65.00 2:14840.00 3:8039.10 4:67.57 5:233.29 6:305.07 7:324.45 8:264.04 9:166.00 10:81.06
0 1:70.00 2:14851.00 3:8920.05 4:347.52 5:311.03 6:195.36 7:432.68 8:520.93 9:204.09 10:183.15
0 1:60.00 2:14839.00 3:8488.25 4:116.84 5:187.90 6:227.99 7:371.22 8:393.71 9:129.62 10:185.94
0 1:72.00 2:14845.00 3:8467.60 4:260.48 5:140.86 6:139.88 7:287.37 8:353.06 9:277.57 10:293.34
0 1:88.00 2:14839.00 3:6406.98 4:686.23 5:360.67 6:716.72 7:641.50 8:482.00 9:172.25 10:515.53
0 1:64.00 2:14838.00 3:7313.15 4:87.58 5:88.71 6:293.21 7:349.19 8:269.49 9:279.95 10:199.27
0 1:87.00 2:14817.00 3:6562.12 4:435.21 5:391.43 6:241.74 7:583.54 8:239.29 9:121.30 10:378.55
0 1:61.00 2:14814.00 3:4981.55 4:359.65 5:209.99 6:299.37 7:575.84 8:407.99 9:227.42 10:115.77
0 1:70.00 2:14820.00 3:4597.33 4:376.43 5:304.71 6:365.38 7:494.03 8:547.92 9:105.32 10:156.82
0 1:355.00 2:14858.00 3:4464.24 4:1567.18 5:1288.23 6:818.76 7:750.85 8:496.13 9:592.27 10:306.96
0 1:969.00 2:14874.00 3:20598.38 4:4559.01 5:1887.40 6:790.09 7:1290.78 8:1289.70 9:1372.16 10:1249.83
0 1:627.00 2:14600.00 3:36483.00 4:2316.18 5:1488.23 6:927.21 7:869.92 8:634.54 9:472.45 10:519.93
0 1:88.00 2:14834.00 3:3302.85 4:408.63 5:629.60 6:180.92 7:311.51 8:294.94 9:410.31 10:166.78
0 1:61.00 2:14830.00 3:2540.22 4:293.92 5:276.99 6:325.55 7:338.00 8:367.67 9:221.42 10:244.09
0 1:61.00 2:14836.00 3:1954.89 4:393.92 5:270.15 6:410.60 7:187.13 8:252.82 9:166.45 10:109.35
0 1:74.00 2:14843.00 3:1090.73 4:658.78 5:669.21 6:701.30 7:310.84 8:334.24 9:366.55 10:208.67
0 1:65.00 2:14849.00 3:845.66 4:438.02 5:244.56 6:264.70 7:393.10 8:361.37 9:131.98 10:142.75
0 1:686.00 2:14734.00 3:17957.13 4:8086.93 5:2385.24 6:792.49 7:1184.07 8:747.81 9:964.52 10:831.23
0 1:166.00 2:14578.00 3:39932.64 4:739.50 5:215.81 6:444.69 7:253.99 8:366.99 9:173.20 10:119.77
0 1:84.00 2:14638.00 3:33048.19 4:554.32 5:445.76 6:140.59 7:692.80 8:270.05 9:225.26 10:233.40
0 1:94.00 2:14637.00 3:34223.39 4:1230.11 5:971.12 6:383.02 7:787.38 8:715.54 9:217.70 10:250.68
0 1:70.00 2:14674.00 3:28639.45 4:490.18 5:344.94 6:191.59 7:531.51 8:302.15 9:120.07 10:90.76
0 1:54.00 2:14703.00 3:27068.30 4:496.42 5:322.78 6:338.70 7:497.34 8:428.17 9:232.18 10:161.95
0 1:79.00 2:14706.00 3:26401.67 4:591.89 5:903.44 6:1359.74 7:921.44 8:334.15 9:202.92 10:123.02
0 1:62.00 2:14707.00 3:26278.40 4:208.53 5:204.80 6:291.67 7:736.51 8:300.23 9:107.79 10:216.16
0 1:138.00 2:14717.00 3:25346.26 4:1080.07 5:422.86 6:270.43 7:579.86 8:453.18 9:163.69 10:511.42
0 1:9063.00 2:14659.00 3:140657.22 4:27153.05 5:25104.32 6:15419.96 7:9793.52 8:15114.06 9:10783.36 10:12666.67
0 1:2566.00 2:14407.00 3:192728.70 4:10578.14 5:4070.65 6:5503.70 7:6759.60 8:5616.62 9:7071.84 10:5396.06
0 1:1822.00 2:14468.00 3:186066.08 4:11790.63 5:8755.23 6:3409.29 7:8378.21 8:6264.16 9:9447.06 10:5383.02
0 1:4085.00 2:14988.00 3:193565.39 4:14495.31 5:18477.71 6:16201.31 7:6291.29 8:3615.18 9:3252.62 10:3454.36
0 1:2557.00 2:15396.00 3:163762.69 4:13652.44 5:19930.12 6:12742.19 7:10865.98 8:4648.16 9:4376.42 10:3244.95
0 1:1043.00 2:15860.00 3:118213.40 4:924.79 5:1131.72 6:468.14 7:691.47 8:1275.11 9:405.49 10:1961.56
0 1:1586.00 2:15188.00 3:161567.30 4:4707.81 5:7884.21 6:5440.88 7:1381.23 8:7481.65 9:3702.78 10:7531.33
0 1:2014.00 2:15291.00 3:138654.31 4:6367.96 5:4775.83 6:5903.89 7:2695.97 8:6609.73 9:3487.56 10:5876.54
0 1:1268.00 2:15726.00 3:151832.08 4:12035.93 5:11230.88 6:3530.33 7:5418.51 8:4900.66 9:2343.25 10:2209.33
0 1:144.00 2:15866.00 3:136829.05 4:261.41 5:420.00 6:200.92 7:414.10 8:413.45 9:1019.28 10:765.16
0 1:148.00 2:15897.00 3:138928.20 4:488.49 5:371.26 6:324.01 7:303.32 8:335.27 9:268.79 10:272.12
0 1:638.00 2:15980.00 3:142220.53 4:972.83 5:593.27 6:322.24 7:562.48 8:428.68 9:392.10 10:455.03
0 1:1988.00 2:14573.00 3:177097.39 4:3037.16 5:3454.21 6:1600.14 7:2879.45 8:2642.91 9:1873.61 10:1040.98
0 1:2775.00 2:14110.00 3:239270.45 4:32438.61 5:20991.02 6:5977.95 7:8486.42 8:8998.09 9:4171.59 10:2766.42
0 1:3588.00 2:13573.00 3:230868.95 4:19614.81 5:20436.22 6:4463.71 7:9787.60 8:4691.11 9:3781.07 10:2740.41
0 1:701.00 2:14212.00 3:107108.71 4:555.16 5:2257.18 6:799.57 7:695.71 8:569.57 9:509.72 10:695.84
0 1:102.00 2:14275.00 3:105313.94 4:351.49 5:683.30 6:463.16 7:528.25 8:314.03 9:679.94 10:483.54
0 1:86.00 2:14301.00 3:102424.84 4:221.74 5:532.64 6:822.63 7:322.17 8:450.85 9:301.81 10:558.08
0 1:77.00 2:14307.00 3:102841.71 4:205.39 5:411.22 6:509.77 7:337.79 8:395.99 9:332.44 10:198.97
0 1:101.00 2:14319.00 3:101355.43 4:407.01 5:962.45 6:617.74 7:216.59 8:675.92 9:444.93 10:307.89
0 1:808.00 2:14336.00 3:100132.62 4:5337.52 5:3900.58 6:3304.68 7:2045.51 8:912.90 9:3102.88 10:1944.92
0 1:401.00 2:14420.00 3:101367.82 4:2211.54 5:1548.16 6:1386.11 7:1532.72 8:716.99 9:722.21 10:304.09
0 1:446.00 2:14408.00 3:99119.72 4:5725.92 5:4878.35 6:4508.03 7:4285.31 8:3514.90 9:2410.64 10:1316.24
0 1:154.00 2:14360.00 3:119702.55 4:599.63 5:741.70 6:1338.91 7:1072.39 8:1546.36 9:842.30 10:943.79
0 1:996.00 2:14311.00 3:139269.67 4:5906.02 5:4253.66 6:2685.93 7:3622.26 8:8200.12 9:7158.03 10:1549.94
0 1:241.00 2:14359.00 3:149874.92 4:290.14 5:1458.84 6:1219.49 7:1254.54 8:1141.92 9:2227.34 10:1036.68
0 1:202.00 2:14404.00 3:145852.50 4:798.09 5:667.67 6:736.78 7:1038.50 8:1305.33 9:1923.70 10:636.87
0 1:187.00 2:14479.00 3:142543.52 4:1916.97 5:1283.43 6:1496.80 7:1118.18 8:1540.72 9:1259.15 10:1686.39
0 1:168.00 2:14482.00 3:139496.42 4:417.46 5:696.15 6:458.39 7:1031.46 8:1415.45 9:814.93 10:635.46
0 1:297.00 2:14459.00 3:144579.00 4:1932.74 5:1896.87 6:1890.82 7:2266.50 8:1659.92 9:2750.81 10:3440.55
0 1:302.00 2:14414.00 3:155688.91 4:587.07 5:1867.99 6:1188.12 7:1334.49 8:1166.41 9:1124.35 10:562.30
0 1:596.00 2:14511.00 3:124443.91 4:4216.00 5:1778.57 6:774.46 7:1197.12 8:3497.91 9:2154.42 10:1929.11
0 1:441.00 2:14440.00 3:133008.05 4:1981.29 5:2689.81 6:1916.88 7:1794.44 8:2957.94 9:2660.32 10:565.38
0 1:184.00 2:14320.00 3:147657.52 4:1004.38 5:917.13 6:571.65 7:583.50 8:984.45 9:538.22 10:380.47
0 1:200.00 2:14352.00 3:145281.81 4:1402.34 5:820.08 6:1048.88 7:1114.50 8:774.87 9:901.90 10:571.85
0 1:111.00 2:14366.00 3:145587.56 4:585.09 5:1248.95 6:792.61 7:1371.20 8:786.29 9:307.87 10:563.96
0 1:1107.00 2:14305.00 3:149194.05 4:12519.78 5:8924.63 6:4502.73 7:2626.14 8:6213.02 9:2675.53 10:3891.22
0 1:790.00 2:14352.00 3:184507.88 4:2982.94 5:3452.28 6:1458.58 7:1288.12 8:1241.38 9:873.95 10:776.13
0 1:94.00 2:14311.00 3:182671.81 4:552.81 5:436.03 6:782.37 7:864.86 8:579.08 9:571.01 10:424.27
0 1:1291.00 2:14272.00 3:187141.00 4:3094.50 5:8590.29 6:11087.69 7:2878.57 8:5355.10 9:2289.20 10:2098.74
0 1:1929.00 2:14176.00 3:173587.34 4:6014.39 5:5944.76 6:3949.83 7:8373.66 8:4578.54 9:3335.23 10:1514.02
0 1:788.00 2:14330.00 3:176004.33 4:2224.16 5:2046.78 6:1706.24 7:3173.20 8:2938.59 9:2555.19 10:1401.63
0 1:448.00 2:14743.00 3:100683.74 4:1088.51 5:870.25 6:1461.31 7:1804.87 8:1849.86 9:2708.10 10:1531.78
0 1:722.00 2:14597.00 3:168921.42 4:7741.52 5:5646.57 6:7150.49 7:6702.51 8:3598.41 9:3077.67 10:4202.14
0 1:160.00 2:14533.00 3:175262.55 4:1211.82 5:631.49 6:859.42 7:920.96 8:788.62 9:504.62 10:562.07
0 1:175.00 2:14558.00 3:175487.83 4:1040.91 5:741.19 6:1177.10 7:1143.35 8:985.13 9:2001.95 10:1126.11
0 1:347.00 2:14649.00 3:157099.20 4:2301.52 5:1810.35 6:1062.67 7:1028.53 8:872.75 9:2844.37 10:2417.82
0 1:294.00 2:14699.00 3:141114.59 4:1360.14 5:1873.51 6:926.53 7:897.03 8:970.00 9:1724.20 10:882.44
0 1:105.00 2:14721.00 3:141722.55 4:586.50 5:590.37 6:205.86 7:434.81 8:382.64 9:409.80 10:673.65
0 1:153.00 2:14734.00 3:139821.66 4:540.26 5:270.21 6:518.67 7:244.12 8:723.30 9:281.50 10:528.01
0 1:2269.00 2:13930.00 3:173179.94 4:2983.91 5:8268.66 6:9187.48 7:5857.71 8:3593.20 9:5892.43 10:3799.91
0 1:1622.00 2:13986.00 3:181115.86 4:6111.38 5:1600.51 6:1153.03 7:4337.06 8:3283.31 9:3847.53 10:2935.68
0 1:208.00 2:14423.00 3:174805.83 4:718.34 5:545.43 6:1193.87 7:1047.27 8:860.43 9:1605.66 10:1772.59
0 1:102.00 2:14467.00 3:166972.20 4:596.46 5:467.89 6:113.69 7:624.01 8:568.84 9:509.34 10:427.74
0 1:81.00 2:14466.00 3:166784.89 4:242.39 5:448.46 6:468.46 7:493.28 8:538.33 9:598.00 10:598.00
0 1:75.00 2:14479.00 3:165359.47 4:279.63 5:383.42 6:329.41 7:508.73 8:455.55 9:409.05 10:434.11
0 1:101.00 2:14497.00 3:164748.39 4:460.41 5:230.73 6:438.87 7:481.90 8:400.93 9:431.48 10:546.81
0 1:601.00 2:14541.00 3:161802.27 4:2354.14 5:1823.25 6:1047.25 7:923.78 8:730.14 9:560.46 10:1033.17
0 1:1459.00 2:13875.00 3:313658.88 4:11929.37 5:6399.22 6:4526.40 7:2235.59 8:2875.42 9:1893.61 10:2284.29
0 1:588.00 2:14063.00 3:275110.34 4:1439.98 5:3509.55 6:1237.33 7:802.97 8:2722.20 9:2454.87 10:1910.58
0 1:562.00 2:14365.00 3:217350.67 4:2361.54 5:2039.47 6:1849.57 7:733.89 8:296.87 9:1321.10 10:1527.48
0 1:92.00 2:14370.00 3:221627.80 4:270.52 5:613.66 6:507.29 7:680.48 8:801.87 9:639.27 10:989.42
0 1:68.00 2:14369.00 3:221808.63 4:416.04 5:470.16 6:586.52 7:576.17 8:564.86 9:577.17 10:721.25
0 1:141.00 2:14402.00 3:218811.61 4:876.00 5:664.07 6:1151.97 7:543.72 8:1214.35 9:951.68 10:672.30
0 1:191.00 2:14421.00 3:215506.94 4:1767.75 5:1988.91 6:1670.59 7:2586.83 8:2263.64 9:2298.49 10:1888.10
0 1:387.00 2:14504.00 3:220201.39 4:1718.59 5:4144.57 6:3856.54 7:1759.90 8:2053.10 9:2238.82 10:3263.76
0 1:109.00 2:14607.00 3:208510.23 4:475.02 5:366.11 6:551.78 7:580.82 8:334.14 9:671.29 10:467.78
0 1:98.00 2:14605.00 3:210911.45 4:419.96 5:553.46 6:632.98 7:549.01 8:572.63 9:580.83 10:1079.23
0 1:141.00 2:14568.00 3:216194.39 4:680.08 5:618.75 6:645.50 7:627.50 8:782.42 9:1116.04 10:679.09
0 1:114.00 2:14506.00 3:228066.56 4:260.39 5:488.30 6:690.73 7:1354.28 8:1347.33 9:1255.30 10:802.60
0 1:66.00 2:14503.00 3:228509.23 4:353.47 5:390.25 6:638.89 7:532.87 8:467.60 9:877.55 10:457.12
0 1:62.00 2:14504.00 3:228141.88 4:275.65 5:513.34 6:517.21 7:521.49 8:484.38 9:715.18 10:499.17
0 1:61.00 2:14507.00 3:228487.70 4:315.16 5:410.11 6:514.12 7:699.92 8:654.54 9:691.73 10:312.04
0 1:153.00 2:14519.00 3:227828.06 4:116.86 5:527.77 6:591.49 7:545.74 8:457.29 9:616.65 10:717.76
0 1:73.00 2:14591.00 3:223710.36 4:367.98 5:437.76 6:635.28 7:369.82 8:919.55 9:977.95 10:302.28
0 1:92.00 2:14591.00 3:222053.05 4:241.85 5:522.80 6:426.83 7:299.06 8:547.27 9:617.97 10:745.78
0 1:108.00 2:14604.00 3:222602.14 4:231.70 5:530.67 6:427.40 7:497.36 8:555.93 9:802.35 10:1076.83
0 1:74.00 2:14602.00 3:223236.44 4:318.34 5:426.49 6:545.93 7:585.83 8:441.26 9:704.34 10:635.48
0 1:104.00 2:14621.00 3:221047.39 4:238.62 5:579.95 6:527.31 7:449.45 8:544.59 9:511.93 10:538.15
0 1:66.00 2:14654.00 3:218157.67 4:247.97 5:527.75 6:560.41 7:511.45 8:502.93 9:495.99 10:762.02
0 1:62.00 2:14648.00 3:218425.33 4:273.71 5:511.56 6:318.63 7:515.78 8:531.21 9:645.75 10:519.71
0 1:124.00 2:14655.00 3:217790.30 4:492.70 5:858.11 6:510.74 7:530.96 8:777.34 9:490.50 10:496.02
0 1:179.00 2:14744.00 3:205879.81 4:1730.34 5:841.37 6:586.70 7:902.89 8:1413.17 9:1607.85 10:1363.24
0 1:113.00 2:14746.00 3:207350.61 4:390.31 5:575.28 6:590.77 7:418.33 8:499.22 9:803.64 10:1031.89
0 1:66.00 2:14760.00 3:204053.94 4:238.87 5:432.88 6:473.20 7:398.17 8:626.19 9:456.82 10:560.79
0 1:65.00 2:14769.00 3:203029.00 4:404.85 5:424.45 6:454.51 7:595.55 8:530.66 9:375.54 10:496.25
0 1:60.00 2:14779.00 3:201225.95 4:239.88 5:419.68 6:419.61 7:378.76 8:519.82 9:534.76 10:519.48
0 1:60.00 2:14784.00 3:200767.98 4:218.18 5:494.97 6:309.13 7:470.20 8:503.60 9:478.84 10:482.69
0 1:804.00 2:14709.00 3:225254.50 4:9480.38 5:3479.03 6:4389.22 7:7796.47 8:6951.60 9:6360.78 10:4055.70
0 1:9279.00 2:14472.00 3:241462.20 4:15562.28 5:7481.05 6:30698.56 7:31954.28 8:21207.28 9:9018.19 10:11000.27
0 1:2301.00 2:14785.00 3:35188.37 4:14731.80 5:10762.73 6:14574.05 7:4474.93 8:4754.43 9:1843.59 10:2644.21
0 1:196.00 2:14672.00 3:6076.84 4:577.84 5:466.28 6:512.37 7:243.39 8:880.57 9:270.67 10:183.74
0 1:107.00 2:14647.00 3:2032.23 4:412.07 5:123.95 6:387.47 7:188.17 8:201.66 9:159.24 10:449.15
0 1:618.00 2:14772.00 3:31067.94 4:4904.10 5:625.08 6:689.80 7:868.61 8:444.05 9:476.41 10:806.31
0 1:1545.00 2:14785.00 3:8123.35 4:7675.92 5:3813.30 6:637.91 7:1562.49 8:860.63 9:1726.89 10:918.15
0 1:11351.00 2:15035.00 3:178229.39 4:9209.06 5:16526.28 6:14137.43 7:16741.01 8:24936.62 9:7814.89 10:21266.34
0 1:4361.00 2:14952.00 3:273254.72 4:14183.06 5:14630.71 6:14348.18 7:8896.54 8:7913.28 9:10486.77 10:8490.03
0 1:650.00 2:15141.00 3:227651.64 4:2761.89 5:907.33 6:818.23 7:417.79 8:728.01 9:531.90 10:591.50
0 1:319.00 2:15046.00 3:234943.00 4:1311.43 5:679.97 6:487.83 7:515.99 8:908.12 9:769.78 10:509.16
0 1:422.00 2:15254.00 3:216417.25 4:1663.81 5:3346.78 6:1826.28 7:2983.23 8:4263.24 9:3678.30 10:3422.62
0 1:346.00 2:15296.00 3:214451.67 4:2623.10 5:2298.01 6:735.19 7:907.93 8:1869.16 9:1866.60 10:770.86
0 1:572.00 2:15416.00 3:198427.27 4:2369.72 5:3350.90 6:4346.91 7:3130.97 8:1597.24 9:3193.27 10:1499.16
